Source,Paper Title,Author,Year,Empirical Data?,Subsidy Category,Resource Subsidy,Vector (taxon or phenomenon) Group,Specific Vector,Biotic or Abiotic?,Recipient taxon or habitat,Subgroups Yes,Ecotone/Ecosystem Boundary,Climate Zone,Mediterannean Yes,Continent,Country,Lat/Lon,Experimental Component Yes,Start Year,End Year,Your Initials
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.95",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.96",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.97",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.98",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.99",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.100",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.101",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.102",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.103",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.104",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.105",No,2004,2005,KH
Mulder,Direct and indirect effects of rats: does rate eradication restore functioning of New Zealand seabird islands?,"Mulder, C.P.H., et al",2009,Yes,,"N,P,C, pH",Seabirds,Unspecified,Biotic,Soil and Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-36.64,175.106",No,2004,2005,KH
Subalusky,Do bears facilitate transfer of salmon resources to aquatic macroinvertebrates,Winder et al,2007,Yes,,Nirogen and Carbon,Fish,Pacific Salmon,Biotic,Caddisfly larvae,No,Freshwater - Terrestrial,Temperate,No,North America,USA,"59.60, -158.159",Yes,2003,2003,JB
Subalusky,Dry wildebeest carcasses in the African savannah: the utilization of a unique resource.,Wambuguh,2008,No(not Marine - Terrestrial),,,,,,,,,,,,,,,,,
Subalusky,Ecological and evolutionary implications of food subsidies from humans,Oro et al.,2013,No,,,,,,,,,,,,,,,,,FL
Subalusky,Ecological Effects of Live Salmon Exceed Those of Carcasses During an Annual Spawning Migration,Tiegs et al,2011,Yes,,Live salmon,Fish,Pacific salmon,Biotic,Stream,Yes,Marine - Freshwater,Oceanic,No,North America,United States,"55.5, -132.7",Yes,2007,2007,FL
Subalusky,Ecological Effects of Live Salmon Exceed Those of Carcasses During an Annual Spawning Migration,Tiegs et al,2011,Yes,,Salmon carcasses,Fish,Pacific salmon,Biotic,Stream,,Marine - Freshwater,Oceanic,No,North America,United States,"55.5, -132.8",Yes,2007,2007,FL
Mulder,Ecological role of the current and abandoned penguin rookeries in the land environment of the maritime Antarctic,"Myrcha, A. and A. Tatur",1991,Cannot find paper,,,,,,,,,,,,,,,,,
Subalusky,Ecological Stoichiometry - The Biology of Elements from Molecules to the Biosphere,Sterner and Elser,2002,No,,,,,,,,,,,,,,,,,
Subalusky,Ecological Stoichiometry as an Integrative Framework in Stream Fish Ecology,McIntyre and Flecker,2010,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,Ecology,"Ricklefs, R.E. and G.L. Miller",1999,No,,,,,,,,,,,,,,,,,
Mulder,"Ecology of the Pembrokeshire Islands: V. Manuring by the colonial seabirds and mammals, with a note on seed distribution by gulls","Gillham, M.E.",1956,No,,,,,,,,,,,,,,,,,
Subalusky,Ecology of whale falls at the deep-sea floor.,Smith and Baco,2003,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,Ecosystem Engineering in space and time.,"Hastings, A., et al",2007,No,,,,,,,,,,,,,,,,,
Seabird Chapter,Ecosystem Engineers: Feedback and Population Dynamics,"Cuddington, K. et al",2009,No,,,,,,,,,,,,,,,,,KH
Mulder,"Ecosystem structure and productivity of tropical rain forests along altitudinal gradients with contrasting soil phosphorus pools on Mount Kinabalu, Borneo","Kitayama, K. and S.I. Aiba",2002,Yes,,"N and P, ANPP",Geological Substrates and Ecosystem (Unspecified),Unspecified,Biotic,Land,No,Terrestrial - Terrestrial,Humid Tropical,No,Asia,Malaysia,"6.083333, 116.550000",No,1995,1998,KH
Subalusky,Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,,Inorganic 13C,Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Unproductive lake,Yes,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.5",Yes,2001,2002,FL
Subalusky,Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,,Inorganic 13C,Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Dystrophic lake,,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.7",Yes,2001,2002,FL
Subalusky,Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,,"Inorganic 13C, liquid fertilizer (stimulate primary prod.)",Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Nutrient-enriched lake,,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.6",Yes,2001,2002,FL
Subalusky,"Effect of landscape boundaries on the flux of nutrients, detritus, and organisms. In Food Webs at the Landscape Level",Polis et al.,2004,No,,,,,,,,,,,,,,,,,FL
MacInturf,"Effects of a small seagull colony on trophic status and primary production in a Mediterranean coastal system (Marinello ponds, Italy)",Signa et al.,2012,Yes,seabird guano,Seabird Guano(Nitrogen and Phosphorus),seabirds,Yellow-Legged Gull(Larus michahellis),Biotic,Surface Water,No,Marine - Freshwater,Temperate,Yes,Europe,Italy,"38.1427, 15.0535",Yes,2008,2009,JB
Subalusky,Effects of animal movement strategies and costs on the distribution of active subsidies across simple landscapes,Earl and Zollner,2014,No,,,,,,,,,,,,,,,,,FL
MacInturf,Effects of anthropogenic food resources on Yellow-legged Gull colony size on Mediterranean islands,Duhem et al.,2008,No,,,,,,,,,,,,,,,,,
MacInturf,"Effects of nesting waterbirds on nutrient levels in mangroves, Gulf of Fonseca, Honduras",McFadden et al.,2016,Yes,,"Phosphorus, Nitrogen",Waterbirds,"Neotropic Cormorant, Cattle Egret, White Ibis, Magnificent Frigatebird",Biotic,Plants/Soil,Yes,Marine - Terrestrial,Subtropical,No,North America,Honduras,"13.3668, -87.4704",Yes,2013,2013,JB
Subalusky,Effects of partitioning allochthonous and autochthonous resources on food web stability,Huxel et al.,2002,No,,,,,,,,,,,,,,,,,FL
MacInturf,Effects of partitioning allochthonous and autochthonous resources on food web stability,Huxel et al.,2002,No,,,,,,,,,,,,,,,,,
MacInturf,Effects of Salmon-Derived Nitrogen on Riparian Forest Growth and Implications for Stream Productivity,"Helfield, Naiman",2001,Yes,,Nitrogen,Fish,Pacific Salmon,Biotic,Riparian Foliage,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,"57.52, -135.18",Yes,1998,1999,JB
Subalusky,Effects of Size and Temperature on Metabolic Rate,Gillooly et al.,2001,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,"Effects of the common cormorant, Phalacrocorax carbo, on evergreen forests in two nest sites at Lake Biwa, Japan.","Ishida, A.",1996,Yes,,Vegetation,Birds,Phalacrocorax carbo Kuroda,Biotic,Forests,Yes,Freshwater - Terrestrial,Tropical,No,Asia,Japan,"28.416667, 136.150000",No,1982,1988,KH
Seabird Chapter,"Effects of the common cormorant, Phalacrocorax carbo, on evergreen forests in two nest sites at Lake Biwa, Japan.","Ishida, A.",1996,Yes,,Vegetation,Birds,Phalacrocorax carbo Kuroda,Biotic,Forests,Yes,Freshwater - Terrestrial,Tropical,No,Asia,Japan,"35.200000, 136.083333",No,1982,1988,KH
Subalusky,Effects of the hippopotamus on the chemistry and ecology of a changing watershed,Stears et al,2018,,,,,,,,,,,,,,,,,,
Seabird Chapter,El Nino effects on the dynamics and control of an island ecosystem in the Gulf of California,"Polis, G.A., et al",1997,Yes,,Precipitation,Plants and Insects,Unsepcified,Abiotic and Biotic,Terrestrial communities,No,Marine - Terrestrial,Mediteranean/Arid,Yes,North America,Mexico,"28.916667, -113.500000",No,1990,1994,KH
Subalusky,El Niño Effects on the Dynamics and Control of Anisland Ecosystem in the Gulf of California,Polis et al.,1997,Yes,,El Nino precipitation,Precipitation,El Nino precipitation,Abiotic,Insect abundance,No,n/a,Arid,No,North America,Mexico,"28.9, -113.7",Yes,1990,1995,FL
Subalusky,Energy flow and subsidies associated with the complex life cycle of ambystomatid salamanders in ponds and adjacent forest in southern Illinois.,Regester et al,2006,Yes,carrion,Breeding adult salamanders (ash free dry mass),Amphibian,Ambystomatid salamanders,Biotic,Pond,Yes,Terrestrial - Freshwater,Humid subtropical,No,North America,United States,"37.3, -89.3",Yes,2001,2003,FL
Subalusky,Energy flow and subsidies associated with the complex life cycle of ambystomatid salamanders in ponds and adjacent forest in southern Illinois.,Regester et al,2006,Yes,,Metamorphosing larval salamanders (ash free dry mass),Amphibian,Ambystomatid salamanders,Biotic,Surrounding land,,Freshwater - Terrestrial,Humid subtropical,No,North America,United States,"37.3, -89.4",Yes,2001,2003,FL
Mulder,"Environmental constraints on the growth, photosynthesis and reproductive development of Dryas octopetala at a high arctic polar semidesert, Svalbard","Wookey, P.A., et al",1995,Yes,,"N, P, K",Soil,N/A,Abiotic,D. octopetala,Yes,Terrestrial - Terrestrial,Polar semi-desert,No,Europe,Norway,"78.935333, 11.840001",Yes,1993,1993,KH
Mulder,"Environmental constraints on the growth, photosynthesis and reproductive development of Dryas octopetala at a high arctic polar semidesert, Svalbard","Wookey, P.A., et al",1995,Yes,,Seeds,Soil,N/A,Abiotic,D. octopetala,Yes,Terrestrial - Terrestrial,Polar semi-desert,No,Europe,Norway,"78.935333, 11.840002",Yes,1993,1993,KH
Mulder,"Environmental constraints on the growth, photosynthesis and reproductive development of Dryas octopetala at a high arctic polar semidesert, Svalbard","Wookey, P.A., et al",1995,Yes,,Temperature,Soil,N/A,Abiotic,D. octopetala,Yes,Terrestrial - Terrestrial,Polar semi-desert,No,Europe,Norway,"78.935333, 11.840000",Yes,1991,1993,KH
Seabird Chapter,Environmental modifications of a Subantartic peatt-bog by the wandering albatross (Diomedea exulands): A preliminary study.,"Joly, Y. et al",1987,Yes,,Organic Nutrients,Fish,Fish,Fish,Vegetation and Invertebrate Fauna,No,Marine - Freshwater,Oceanic,No,Indian Ocean,Indian Ocean,"-46.416667, 51.750000",No,1970,1984,KH
Seabird Chapter,Environmental Response to burrowing seabird colonies: a study in ecosystem engineering,Bancroft,2004,Yes,seabird guano,Guano,Seabird,Wedge Tailed Shearwater,Biotic,Soil,No,Marine - Terrestrial,Island,Yes,Australia,Australia,"-32.0069667,115.443",No,,2004,ZZ
Mulder,Evidence for the existence of three prrimary strategies in plants and its relevance to ecological and evolutionary theory,"Grime, J.P.",1977,No,,,,,,,,,,,,,,,,,
Subalusky,Evolution of phosphorus limitation in lakes,Schindler,1977,No,,,,,,,,,,,,,,,,,FL
MacInturf,Examining the relative influence of animal movement patterns and mortality models on the distribution of animal transported subsidies,Bamoph et al.,2019,No,,,,,,,,,,,,,,,,,
Subalusky,Experimental nutrient additions accelerate terrestrial carbon loss from stream ecosystems,Rosemond et al,2015,No,,,,,,,,,,,,,,,,,FL
Subalusky,Exploring the “nutrient hot spot” hypothesis at trees used by bats,Duchamp et al.,2010,Yes,,Tree-roosting bat guano (N),Mammal,Tree-roosting bats (Myotis septentrionalis and M. sodalis),Biotic,Soil/land under roosting trees,No,Terrestrial - Terrestrial,Humid continental,No,North America,United States,"40.3, -86.1",Yes,2002,2005,FL
Seabird Chapter,Extraordinarily high spider densities on islands- the flow of energy from the Marine - Terrestrial food webs and the absence of predation,"Polis, G.A. and S.D. Hurd",1995,Yes,wrack,N/A,Spiders,Unspecified,Biotic,Scorpions and lizards,No,Marine - Terrestrial,Mediteranean/Arid,Yes,North America,Mexico,"28.916667, -113.500000",No,1990,1991,KH
Subalusky,Extraordinarily high spider densities on islands: flow of energy from the Marine - Terrestrial food webs and the absence of predation.,Polis and Hurd,1995,Yes,wrack,"Algal drift, carcass drift",Shore drift,Shore drift,Abiotic,Spider density,No,Marine - Terrestrial,Arid,No,North America,Mexico,"28.9, -113.5",Yes,1990,1991,FL
Subalusky,"Faecal pellets in streams: their binding, breakdown and utilization",Joyce et al.,2007,Yes,,Shredder & suspension feeder fecal pellets,Arthropod,Black flies (Simulium) and Gammarus amphipod,Biotic,Stream,No,Freshwater - Freshwater,Wild caught and raised in lab for experiment,No,Europe,England,"51.7, -0.61",Yes,2004,2005,FL
Seabird Chapter,"Faeces deposition and numbers of vertebrate herbivores in the vicinity of planktivorous and piscivorous seabird colonies in Hornsund, Spitsbergen","Jakubas D., et al",2008,,,,,,,,,,,,,,,,,,
Subalusky,Faunal community structure of a chemoautotrophic assemblage on whale bones in the deep northeast Pacific Ocean,Bennett et al.,1994,Yes,,Whale carcass,Aquatic mammal,Blue whale or fin whale,Biotic,Deep-sea floor,No,Marine - Marine,Deep sea,No,North America,United States,"33.2, -118.5",Yes,1987,1988,FL
Subalusky,Feces in aquatic ecosystems,Wotton and Malmquist,2001,No,,,,,,,,,,,,,,,,,
Subalusky,Feedbacks of consumer nutrient recycling on producer biomass and stoichiometry: separating direct and indirect effects,Knoll et al.,2009,Yes,,No relation to subsidies (aquatic grazer effects on periphyton),,,,,,,,,,,,,,,FL
Subalusky,Fertilization of the desert soil by rock-eating snails,Jones and Shachak,1990,Yes,,Endolithic lichen-eating snail feces (N),Gastropod,Snails,Biotic,Soil under rocks,No,Terrestrial - Terrestrial,Arid desert,No,Asia,Israel,"30.7, 34.9",Yes,1989,1989,FL
MacInturf,Filling the Information Gap in Meta-Ecosystem Ecology,Little et al.,2020,No,,,,,,,,,,,,,,,,,
MacInturf,Fish distributions and nutrient cycling in streams: can fish create biogeochemical hotspots?,McIntyre et al.,2008,Yes,,Fish creating hotspots of nutrient recycling in streams,Freshwater Fish,Unspecified(47 different species),Biotic,Riffle and Run of stream,No,Freshwater - Freshwater,Tropical,No,South America,Venezuela,"9.10, -69.44",Yes,2004,2004,JB
Subalusky,Fish extinctions alter nutrient recycling in tropical freshwaters,McIntyre et al.,2007,No,,,,,,,,,,,,,,,,,FL
Subalusky,Fish Invasion Restructures Stream and Forest Food Webs by Interrupting Reciprocal Prey Subsidies,Baxter et al.,2004,Yes,,Emerging aquatic insect prey,Insect,Aquatic insects,Biotic,Riparian forest spiders,Yes,Freshwater - Terrestrial,Humid continental,No,Asia,Japan,"42.7, 141.6",Yes,2002,2002,FL
Subalusky,Fish Invasion Restructures Stream and Forest Food Webs by Interrupting Reciprocal Prey Subsidies,Baxter et al.,2004,Yes,,Terrestrial prey,Terrestrial invertebrates,Terrestrial invertebrates,Biotic,Fish,,Terrestrial - Freshwater,Humid continental,No,Asia,Japan,"42.7, 141.7",Yes,2002,2002,FL
Subalusky,Fish Schools: An Asset to Corals,Meyer et al.,1983,Yes,,"French & white grunt excretion (N, P, C, calories)",Fish,French & white grunts,Biotic,Coral reef colonies,No,Marine - Marine,Tropical wet savanna (in ocean),No,North America,United States,"17.8, -64.7",Yes,1980,1981,FL
Subalusky,Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems,Gratton and Zanden,2009,No,,,,,,,,,,,,,,,,,FL
Subalusky,Food Web Stability: The Influence of Trophic Flows across Habitats,Huxel and McCann,1998,No,,,,,,,,,,,,,,,,,FL
Subalusky,Food webs and resource sheds: towards spatially delimiting trophic interactions,Power and Rainey,2000,No,,,,,,,,,,,,,,,,,FL
Subalusky,Food Webs at the Landscape Level,Polis et al.,2004,,,Cannot access book,,,,,,,,,,,,,,,FL
Seabird Chapter,"Food webs: Linkage, interaction strength and community infrastructure","Paine, R.T.",1980,No,,,,,,,,,,,,,,,,,
Seabird Chapter,Food webs: What do they tell us about the world?,"Winemiller, K.O. and G.A. Polis",1996,No,,,,,,,,,,,,,,,,,
MacInturf,Foraging Ecology and Nutrition of Sea Turtles,Bjorndal,1997,No,,,,,,,,,,,,,,,,,
Mulder,Forest floor quality and N transformations in a temperate forest affected by avian-derived N deposition,"Hobara, S. T. Osono, et al",2001,Yes,,N and C.,Plants,Unspecified,Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,Asia,Japan,"35.200000, 136.083333",No,1999,1999,KH
MacInturf,From wing to wing: the persistence of long ecological interaction chains in less-disturbed ecosystems,McCauley et al.,2012,Yes,,Nitrogen,Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Tropical Rainforest,No,North America,USA(Palmyra Atoll),"5.52, -162.04",Yes,2009,2010,JB
other,Fueling of a Marine - Terrestrial ecosystem by a major seabird colony,Hentati-Sundberg et al,2020,Yes,,guano,Aves,seabirds,Biotic,Chironomid larvae,No,Marine - Terrestrial,Baltic Island,N,Europe,Sweden,"57.2855447,17.9555191",N,2017,2017,ZZ
Seabird Chapter,"Global analysis of nitrogen and phosphorus limitation of primary producers in freshwater, marine and terrestrrial ecosystems","Elser, JJ et al",2007,No,,,,,,,,,,,,,,,,,
Subalusky,Global decline in aggregated migrations of large terrestrial mammals,Harris et al.,2009,No,,,,,,,,,,,,,,,,,FL
MacInturf,Global nutrient transport in a world of giants,Doughty et al.,2016,No,,,,,,,,,,,,,,,,,
Seabird Chapter,Grazing and reproductive success of red deer: The effect of local enrichment by gull colonies,"Iason, G.R., et al",1986,Yes,,N and P,Birds,Gull,Abiotic,Soil,No,Marine - Terrestrial,Oceanic,No,Europe,Scotland,"57.0095, 6.3239",Yes,1981,1982,KH
Subalusky,Grizzly bear predation links the loss of native trout to the demography of migratory elk in Yellowstone,Middleton et al.,2013,"No, but interesting",,"Invasive trout leads to less native trout spawning, which causes bears to feed more on elk calves, reducing pop. growth",,,,,,,,,,,,,,,FL
Mulder,Guano as a nitrogen-source for fertigation in organic farming,"Hadas, A. and R. Rosenberg",1992,Yes,,Guano (N),Seabirds,Unspecified,Biotic,Soil,No,Lab setting,Lab Conditions,No,N/A,N/A,LABORATORY,N/A,N/A,N/A,KH
Subalusky,Herbivore physiological response to predation risk and implications for ecosystem nutrient dynamics,Hawlena and Schmitz,2010,No,,,,,,,,,,,,,,,,,FL
Seabird Chapter,Herbivory in relation to plant nitrogen-content,"Mattson, W.J.",1980,No,,,,,,,,,,,,,,,,,
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Penguin,Biotic,Soil,Yes,Marine - Terrestrial,Polar,No,Antarctica,Ross Island,"-77.200000, 166.466667",No,1981,1981,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"40.536667, 141.561389",No,1981,1983,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"40.502222, 141.623056",No,1981,1981,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"38.933056, 141.720556",No,1982,1982,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.443889, 132.629444",No,1981,1981,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.080000, 132.325833",No,1980,1981,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Gull,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"35.072222, 132.320556",No,1984,1984,KH
Mulder,High nitroogen isotope ratio for soils of seabird rookeries,"Mizutani, H. et al",1986,Yes,,Nitrogen,Various Birds,Albatross,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Asia,Japan,"30.483333, 140.300000",No,1982,1982,KH
Subalusky,Historical changes in nutrient inputs from humans and anadromous fishes in New England’s coastal watersheds,Twining et al,2003,Yes,fish derived,"Anadromous alewives (N, C, P)",Fish,Alewife,Biotic,Lakes & ponds,No,Marine - Freshwater,Humid subtropical,No,North America,United States,"41.4, -72.2",Yes,Unspecified,Unspecified,FL
Mulder,"How temperature, humidity and burrow selection affect evaporative water loss in desert tortoises","Bulova, S.J.",2002,Yes,,Water,Desert Tortoises,Gopherus agassizii,Abiotic,Air,No,Terrestrial - Terrestrial,Desert,No,North America,USA,"35.950000,-155.250000",No,1993,1993,KH
Subalusky,How wide is a stream? Spatial extent of the potential ‘‘stream signature’’ in terrestrial food webs using meta-analysis.,Muehlbauer et al.,2014,No,,,,,,,,,,,,,,,,,FL
Subalusky,Human-induced changes in large herbivorous mammal density: the consequences for decomposers,Wardle and Bargett,2004,No,,,,,,,,,,,,,,,,,
MacInturf,Identifying Corridors among Large Protected Areas in the United States,Belote et al.,2016,No,,,,,,,,,,,,,,,,,JB
Mulder,Impact of gaseous nitrogen deposition on plant functioning,"Stulen, I., et al",1998,No,,,,,,,,,,,,,,,,,
MacInturf,Impact of gull colonies on the flora of the Riou archipelago (Mediterranean islands of south-east France),Vidal et al.,1998,No,,,,,,,,,,,,,,,,,
Subalusky,Impacts of Climatic Change and Fishing on Pacific Salmon Abundance Over the Past 300 Years,Finney et al.,2000,Yes,,Salmon carcasses (N),Fish,Sockeye salmon,Biotic,Lake sedimentary N,Yes,Marine - Freshwater,Oceanic,No,North America,United States,"57.4, -154",Yes,Unknown,Unknown,FL
Subalusky,Impacts of Climatic Change and Fishing on Pacific Salmon Abundance Over the Past 300 Years,Finney et al.,2000,Yes,,Salmon carcasses (N),Fish,Sockeye salmon,Biotic,Diatoms and cladocerans,,Marine - Freshwater,,,,,,,,,FL
MacInturf,"Impacts of seabird-derived nutrients on water quality and diatom assemblages from Cape Vera, Devon Island, Canadian High Arctic",Keatly et al.,2008,Yes,,"Nitrogen, Major Ions, Nutrients",Seabirds,"northern fulmars(Fulmarus
glacialis)",Biotic,Pond Sediment,No,Marine - Freshwater,Arctic,No,North America,Canada,"76.15, -89.16",Yes,2004,2006,JB
Subalusky,Impacts of Species Addition and Species Loss on Ecosystem Function in Freshwater Systems,Capps et al.,2012,No,,,,,,,,,,,,,,,,,FL
MacInturf,IMPROVED ESTIMATION OF GUT PASSAGE TIME CONSIDERABLY AFFECTS TRAIT-BASED DISPERSAL MODELS,Abraham et al.,2020,No,,,,,,,,,,,,,,,,,
Subalusky,Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Aquatic invertebrates (stream),Yes,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 171",Yes,2001,2003,FL
Subalusky,Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Aquatic mosses (stream),,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 172",Yes,2001,2003,FL
Subalusky,Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Riparian plants (stream),,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 173",Yes,2001,2003,FL
Subalusky,Increases in benthic community production and metabolism in response to marine-derived nutrients from spawning Atlantic salmon (Salmo salar),Samways and Cunjak,2015,Yes,,Spawning Atlantic salmon (marine derived nutrients),Fish,Atlantic salmon,Biotic,Stream,No,Marine - Freshwater,Continental,No,North America,Canada,"45.3, -66.1",Yes,2011,2012,FL
Subalusky,Increasing donor ecosystem productivity decreases terrestrial consumer reliance on a stream resource subsidy,Davis et al.,2011,Yes,,Emerging aquatic insect prey (N),Insect,Aquatic insects,Biotic,Ground & arboreal riparian spiders,No,Freshwater - Terrestrial,Forest,No,North America,United States,"35.1, -83.3",Yes,2000,2005,FL
Mulder,"Indirect effects of invasive predators on plant litter quality, decomposition, and nutrient resorption on seabird-dominated islands","Wardle, D.A., et al",2009,Yes,,N and P,Seabirds,R. rattus,Biotic,Plants,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-38.4000, 175.7167",No,2004,2004,KH
