Common Name,County,City,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Flag,Group Type: UME,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Other Findings upon Level Y/N,Other Findings - Illness,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,SW Other Findings Type,Observation Date,How Observed,Observation Status,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transfer to Rehab,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD,Condition Other,Condition Other Description,Condition Comments,Sex,Age Class,Whole Carcass,Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Other Collection Comments,Necropsied,Necropsy Limited Flag,Date of Necropsy,Additional Remarks
"Sea lion, California",Santa Barbara,N Unicorporated SB County,Tajiguas Beach,34.4634166,decimal degrees,actual,-120.0986111,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/2/19,Beach or Land,Advanced Decomposition,7/2/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,144.8,cm,estimate,99.8,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,N Unicorporated SB County,Tajiguas Beach,34.4634166,decimal degrees,actual,-120.0986111,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/2/19,Beach or Land,Advanced Decomposition,7/2/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,129.5,cm,actual,99.8,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"San Antonio beach, ""Wishbone"" transect",34.783813,decimal degrees,actual,-120.62617,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/9/19,Beach or Land,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"South Cove, north of South Rocky Point",34.561956,decimal degrees,estimate,-120.635764,decimal degrees,estimate,Internet,,,,N,,,,,,,,,,,,,,,,,,,,7/9/19,Beach or Land,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,Observed through binoculars and scope. Either adult female or subadult male.
"Sea lion, California",Santa Barbara,Lompoc,"San Antonio Beach, ""Gross"" transect",34.78266,decimal degrees,actual,-120.626673,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/9/19,Beach or Land,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,Heavily scavenged at time of first observation
"Sea lion, California",Santa Barbara,Lompoc,Shuman North Beach,34.842726,decimal degrees,actual,-120.610034,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/25/19,Beach or Land,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Old carcass, but new at this location; in tidal zone. Decay/decomp moderate"
"Sea lion, California",Santa Barbara,Santa Barbara,Mesa Lane Beach,34.3973135,decimal degrees,actual,-119.7314853,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/31/19,Beach or Land,Advanced Decomposition,8/31/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,127,cm,actual,48.89,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"Wall Beach, Bowl transect",34.693519,decimal degrees,actual,-120.603211,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/4/19,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Mummified, scavenged adult"
"Sea lion, California",Santa Barbara,Lompoc,"Wall Beach, Beachfuzz",34.701368,decimal degrees,actual,-120.601653,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/4/19,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Skull, only"
"Sea lion, California",Santa Barbara,Lompoc,"Wall Beach, Wall Open",34.707742,decimal degrees,actual,-120.601207,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/4/19,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Mummified scavenged adult ""turned inside out"""
"Sea lion, California",Santa Barbara,Lompoc,"Wall Beach, ""Lounge"" transect",34.696271,decimal degrees,actual,-120.602837,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/4/19,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"1 of 2 together, mummified, scavenged adult"
"Sea lion, California",Santa Barbara,Lompoc,"Wall Beach, Lounge transect",34.696243,decimal degrees,actual,-120.602816,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/4/19,Beach or Land,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"2 of 2 together, mummified and scavenged adult"
"Sea lion, California",Santa Barbara,Santa Barbara,1000 Steps Beach,34.396,decimal degrees,actual,-119.7153,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/19/19,Beach or Land,Mummified/Skeletal,9/19/19,Mummified/Skeletal,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,Y,135,cm,estimate,45,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,Boathouse Harbor,34.555061,decimal degrees,estimate,-120.609571,decimal degrees,actual,Internet,,,,N,,,,,,,,,,,,,,,,,,,,9/26/19,Floating,Alive,,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,,UNKNOWN,ADULT,,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Animal observed with large, bleeding wound to posterior, believed to be minutes after shark attack. Animal live and foundering upon first viewing, died in view within minutes. Was still floating upon departure. EG fatal shark attack, but took a few minutes"
"Sea lion, California",Santa Barbara,Goleta,Goleta Beach/Slough,34.4160406,decimal degrees,actual,-119.8343939,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,10/10/19,Beach or Land,Fresh Dead,10/10/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,149.86,cm,actual,81.64,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Carpinteria,Rincon Parkway,34.3784233,decimal degrees,actual,-119.4827183,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,10/16/19,Beach or Land,Advanced Decomposition,10/16/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,203.2,cm,actual,96.7,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Isla Vista,Campus Point,34.4061293,decimal degrees,actual,-119.8438279,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,12/21/19,Beach or Land,Moderate Decomposition,12/21/19,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,203.2,cm,actual,127,kg,estimate,Y,,,,,,,,,,,,,N,,,Adult CSL with rope around neck.
"Sea lion, California",Santa Barbara,Carpinteria,Rincon,34.374475,decimal degrees,actual,-119.4791846,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,12/31/19,Beach or Land,Moderate Decomposition,12/31/19,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,182.88,cm,actual,90.7,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Goleta,Sands Beach,34.409115,decimal degrees,actual,-119.870131,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,1/14/20,Beach or Land,Alive,1/14/20,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,Y,,,,,,,,,,,,FEMALE,ADULT,Y,,165,cm,actual,75.9,kg,actual,,,,,,,,,,,,,,N,,,Adult CSL rescued due to being unresponsive and shivering.
"Sea lion, California",Santa Barbara,Montecito,Butterfly Beach,34.416806,decimal degrees,actual,-119.644316,decimal degrees,actual,GPS,,,,Y,,,,,,,,,,,,,,,,,,,,1/18/20,Beach or Land,Fresh Dead,1/18/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,,112,cm,actual,60,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"Shuman South, transect ""Rainbow""",34.819972,decimal degrees,actual,-120.615545,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,4/14/20,Beach or Land,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,,48,in,estimate,,,notMeasured,Y,,,,,,,,,,,,,N,,,Heavily scavenged by coyote
"Sea lion, California",Santa Barbara,Santa Barbara,UCSB Parking Lot 6 stairs,34.410032,decimal degrees,actual,-119.842029,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,6/3/20,Beach or Land,Alive,6/3/20,Alive,,,Y,,,,,,,,,,,,,,,,,Y,Y,,,,,FEMALE,ADULT,Y,,155,cm,estimate,90,kg,estimate,,,,,,,,,,,,,,N,,,"Adult female CSL located on stairs between campus and beach. High usage area by public, public safety concern. Hazed animal back into water for animal and public safety."
"Sea lion, California",Santa Barbara,Santa Barbara,North of Refugio State Beach 9 Arroyo Quemada Ln,34.47079,decimal degrees,actual,-120.122115,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,6/18/20,Beach or Land,Fresh Dead,6/18/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,153,cm,actual,80,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"San Antonio Beach, transect ""narrows""",34.775043,decimal degrees,actual,-120.62995,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/2/20,Beach or Land,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,,,84,in,estimate,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Observer noted ""abnormal ectoparasite load"" - was not specific to any greater detail"
"Sea lion, California",Santa Barbara,Goleta,Goleta Pier,34.41755,decimal degrees,actual,-119.805423,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/14/20,Beach or Land,Moderate Decomposition,7/14/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,160,cm,actual,,,notMeasured,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,"Shuman South, transect ""Trilog""",34.80504,decimal degrees,actual,-120.619517,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,7/28/20,Beach or Land,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Heavily scavenged, observer not 100% certain on species ID, but believed to be Zal cal."
"Sea lion, California",Santa Barbara,Santa Barbara,West Beach Tower #3,34.4114,decimal degrees,actual,-119.6883,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/18/20,Beach or Land,Advanced Decomposition,8/18/20,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,160,cm,actual,220,kg,estimate,Y,,,,,,,,,,,,,N,,,"Most of flesh on skull now gone, patches of fur remain on body, intestines spilling out. Body was floating in and out of water, hole in body near FF looked like a possible bite (shark)"
"Sea lion, California",Santa Barbara,Santa Barbara,East of East Beach,34.41696,decimal degrees,actual,-119.65512,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/23/20,Beach or Land,Moderate Decomposition,8/23/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,179,cm,actual,140,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,Shuman North,34.846044,decimal degrees,actual,-120.609588,decimal degrees,,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/24/20,Beach or Land,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,72,in,estimate,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Fresh dead. No obvious signs of trauma, no scavenging at time of first observation"
"Sea lion, California",Santa Barbara,Santa Barbara,East of East Beach,34.417079,decimal degrees,actual,-119.658358,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/26/20,Beach or Land,Moderate Decomposition,8/26/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,177,cm,actual,95,kg,estimate,Y,,,,,,,,,,,,,N,,,Eviscerated intestines out
"Sea lion, California",Santa Barbara,Unincorporated,NW Rincon Beach,34.383831,decimal degrees,actual,-119.492522,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,8/28/20,Beach or Land,Fresh Dead,8/28/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,160,cm,actual,55,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Carpinteria,Below Carpinteria Bluffs,34.3849,decimal degrees,actual,-119.49792,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,9/5/20,Beach or Land,Alive,9/5/20,Alive,,,,,,,Y,,Channel Islands Marine and Wildlife Institute,,,,,,Y,,,,,,,,,,,FEMALE,ADULT,Y,,152.9,cm,estimate,74.91,kg,estimate,,,,,,,,,,,,,,N,,,"Adult female CSL rescued to having severe injuries to hind end and underside, wounds consistent with shark attack."
"Sea lion, California",Santa Barbara,Lompoc,"Minuteman Beach, south",34.854892,decimal degrees,estimate,-120.610453,decimal degrees,estimate,Internet,,,,N,,,,,,,,,,,,,,,,,,,,10/3/20,Beach or Land,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Probable shark bite, however could have been post-mortem"
"Sea lion, California",Santa Barbara,Carpinteria,Carpinteria Bluffs,34.384444,decimal degrees,actual,-119.494722,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,10/21/20,Beach or Land,Moderate Decomposition,10/21/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,234,cm,actual,73,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Santa Barbara,In front of Coral Casino,34.4161299,decimal degrees,actual,-119.6410191,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,10/27/20,Beach or Land,Advanced Decomposition,10/27/20,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,234,cm,actual,100,kg,estimate,Y,,,,,,,,,,,,,N,,,
"Sea lion, California",Santa Barbara,Lompoc,Harbor Seal Beach,34.5614889,decimal degrees,estimate,-120.6200767,decimal degrees,estimate,Internet,,,,N,,,,,,,,,,,,,,,,,,,,11/22/20,Beach or Land,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,ADULT,Y,,48,in,estimate,,,notMeasured,Y,,,,,,,,,,,,,N,,,"Vandenberg Air Force Base; deceased sea lion observed the day after a Falcon 9 rocket launch, however no reason to believe the death was launch-related"
"Sea lion, California",Santa Barbara,Goleta,Hope Ranch Beach,34.412838,decimal degrees,actual,-119.775793,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,12/6/20,Beach or Land,Fresh Dead,12/6/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,173.8,cm,actual,79.4,kg,estimate,Y,,,,,,,,,,,,,N,,,"Animal presented with old scarring, and had blood coming from nose. First seen on 12/2/20."
"Sea lion, California",Santa Barbara,,PLATFORM C,34.3985671,decimal degrees,,-119.8198963,decimal degrees,,,N,N,N,N,N,N,N,,N,,,,,,,,Y,Y,N,,N,,,1/10/07,Beach or Land,Alive,1/10/07,Alive,N,N,N,N,N,N,Y,1/10/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,MALE,PUP/CALF,,,36,in,actual,31,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SUMMERLAND,SUMMERLAND BEACH,34.418611,decimal degrees,actual,-119.598889,decimal degrees,actual,Other,N,N,N,N,N,N,N,,N,,,,,,,,Y,Y,N,,N,,,1/25/07,Beach or Land,Alive,1/25/07,Alive,N,N,N,N,N,N,Y,1/25/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,MALE,PUP/CALF,,,34,in,actual,24,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,34.4028444,decimal degrees,,-119.7453949,decimal degrees,,,N,N,N,N,N,N,N,,N,,,,,,,,Y,Y,N,,N,,,3/2/07,Beach or Land,Alive,3/2/07,Alive,N,N,N,N,N,N,Y,3/2/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,FEMALE,PUP/CALF,,,26,in,actual,28,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.25.45,decimal degrees,actual,119.41.50,decimal degrees,actual,Other,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,3/15/07,Beach or Land,Alive,3/15/07,Alive,N,N,N,N,N,N,Y,3/15/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED; ABSCESS ON RIGHT HIND FLIPPER,FEMALE,PUP/CALF,N,N,37,in,actual,29,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,MONTECITO,MIRAMAR BEACH,34.419213,decimal degrees,estimate,-119.629599,decimal degrees,estimate,Internet,N,,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,3/30/07,Beach or Land,Alive,3/30/07,Alive,N,N,N,N,N,N,Y,3/30/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,MALE,PUP/CALF,N,N,38,in,actual,27,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR SANDBAR,34.24.16,dec deg,actual,119.41.55,dec deg,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,5/1/07,Beach or Land,Alive,5/1/07,,N,N,N,N,N,N,Y,5/1/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,FEMALE,PUP/CALF,N,N,32,in,actual,24,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,,ELLWOOD PIER,34.26.00,dec deg,actual,119.55.33,dec deg,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,5/2/07,Beach or Land,Alive,5/2/07,Alive,N,N,N,N,N,N,Y,5/2/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,FEMALE,PUP/CALF,N,N,32,in,actual,23,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,34.24.54,dec deg,actual,119.46.55,dec deg,actual,,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,5/11/07,Beach or Land,Alive,5/11/07,Alive,N,N,N,N,N,N,Y,5/11/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,LETHARGIC,FEMALE,PUP/CALF,N,N,33.5,in,actual,23,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.24.45,decimal degrees,actual,119.41.50,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,,N,,,5/12/07,Beach or Land,Alive,5/12/07,Alive,N,N,N,N,N,N,Y,5/12/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,PNEUMONIA; THIN,FEMALE,PUP/CALF,N,N,33,in,actual,24,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA CEMETARY,34.24.03,decimal degrees,actual,119.39.47,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,5/22/07,Beach or Land,Alive,5/22/07,Alive,N,N,N,N,N,N,Y,5/22/07,The Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,MALE,PUP/CALF,N,N,36,in,actual,24,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,BONNYMEADE,34.416469,decimal degrees,estimate,-119.635627,decimal degrees,estimate,Internet,N,,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,5/26/07,Beach or Land,Alive,5/26/07,Alive,N,N,N,N,N,N,Y,5/26/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,FEMALE,PUP/CALF,N,N,34,in,actual,27,lb,actual,N,N,N,N,N,,,N,N,N,N,,,N,,,
"Sea lion, California",Santa Barbara,ISLA VISTA,COAL OIL POINT NATURAL RESERVE,34.407127,decimal degrees,estimate,-119.877727,decimal degrees,estimate,Internet,N,,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,5/27/07,Beach or Land,Alive,5/27/07,Alive,N,N,N,N,N,N,Y,5/27/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,EMACIATED,MALE,PUP/CALF,N,N,34,in,actual,23,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,CARPINTERIA,CARPINTERIA STATE BEACH,34.23.23,decimal degrees,actual,119.30.84,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,Y,N,N,N,Y,MATERNAL SEPARATION,Natrual Abandonment,6/16/07,Beach or Land,Alive,6/16/07,Alive,N,N,N,N,N,N,Y,6/16/07,Santa Barbara Marine Mammal Center,N,N,N,,N,N,N,N,Y,N,N,N,N,N,,NEWBORN PUP; UMBILICUS PRESENT,FEMALE,PUP/CALF,N,N,26,in,actual,15,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA YACHT CLUB,34.24.57,decimal degrees,actual,119.41.39,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,Y,MATERNAL SEPARATION,Natrual Abandonment,8/9/07,Beach or Land,Alive,8/9/07,Alive,N,N,N,N,N,N,Y,8/9/07,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,Y,N,N,N,N,N,,1.5 MONTH OLD PUP,FEMALE,PUP/CALF,N,N,30,in,actual,23,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,YACHT CLUB,34.24.16,decimal degrees,actual,119.41.55,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,1/23/08,Beach or Land,Alive,1/23/08,Alive,N,N,N,N,N,N,Y,1/23/08,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,THIN; CONJUCTIVITIS; RESPIRATORY INFECTION,MALE,PUP/CALF,N,N,35,in,actual,26,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.24.45,decimal degrees,estimate,119.41.50,decimal degrees,estimate,Internet,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,4/11/08,Beach or Land,Alive,4/11/08,Alive,N,N,N,N,N,N,Y,4/11/08,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,THIN; PARASITES,FEMALE,PUP/CALF,N,N,35,in,actual,33,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Sea lion, California",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.24.48,decimal degrees,actual,119.41.26,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,5/2/08,Beach or Land,Alive,5/2/08,Alive,N,N,N,N,N,N,Y,5/2/08,Santa Barbara Marine Mammal Center,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,VERY THIN; ABSCESS ON NOSE,FEMALE,PUP/CALF,N,N,34,in,actual,24,lb,actual,N,N,N,N,N,,,N,N,N,N,,,NA,,,
