Common Name,Date of Occurance,Date of Examination,County,City,Location Details,Latitude,Longitude,Type of Occurance,Initial Condition,Initial Disposition,Sex,Age,Length,Length Units,Weight,Weight Units,Stranding Remarks,Material Disposition,Final Disposition Remarks
CALIFORNIA SEA LION,7/19/89,7/19/89,SANTA BARBARA,,ON BEACH 0.5 MILES N OF MOUTH BLACK CYN; BIXBY RANCH,,,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,,,,,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,7/19/89,7/19/89,SANTA BARBARA,,BIXBY RANCH 0.6 MILES N OF MOUTH BLACK CYN.,,,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,,,,,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
GREEN SEA TURTLE,7/23/89,7/23/89,SANTA BARBARA,SUMMERLAND,LOOKOUT PARK,3425,11936,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,U,SUBADULT,,,40,LB,CARCASS BADLY DECOMPOSED; HEAD & PARTS OF FRONT & HIND FLIPPERS MISSING; ANTERIOR PORTION OF LEFT SIDE OF CARAPACE BROKEN,SKELETAL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,7/23/89,7/23/89,SANTA BARBARA,GOLETA,COAL OIL POINT,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,,,,,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
LEATHERBACK SEA TURTLE,7/25/89,7/25/89,SANTA BARBARA,SANTA BARBARA,3/4 MILE OFF OF SANTA BARBARA LIGHTHOUSE,34,119,FISHERY-RELATED,ALIVE,LEFT AT SITE,F,ADULT,163,CM,650,LB,ANIMAL DISENTANGLED FROM CRAB POT LINE BY PETER HOWORTH; MAXIMUM CARAPACE WIDTH=10 CM; CARAPACE LENGTH=163 CM; TAIL LENGTH=24 CM,NA,RELEASED ALIVE ON SITE; FINAL STATUS UNKNOWN
CALIFORNIA SEA LION,7/25/89,7/25/89,SANTA BARBARA,SANTA BARBARA,JALAMA BEACH COUNTY PARK,,,SHOOTING-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,52,IN,108,LB,"GUNSHOT WOUND TO JAW; RESULTING IN BROKEN JAW;PENETRATING WOUND TO HEAD, EXTENDING INTO NASAL CAVITY; COMPOUND FRACTURE OF LOWER MANDIBLES; WOUND FIREARM OR EXPLOSIVES-RELATED; ANIMAL EUTHANIZED (7/26/89)",NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,8/6/89,8/6/89,SANTA BARBARA,SANTA BARBARA,THOUSAND STEPS; 100 YARDS EAST OF STEPS,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,38,IN,28,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,8/11/89,8/11/89,SANTA BARBARA,VANDENBERG AFB,ON BCH B/W MINUTEMAN BCH(SO.OF PT.SAL)& SAN ANTONIO CRK,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,ADULT,48,IN,100,LB,,NO PARTS COLLECTED,
CALIFORNIA SEA LION,8/24/89,8/24/89,SANTA BARBARA,SANTA BARBARA,LEADBETTER BEACH,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,ADULT,70,IN,175,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,8/26/89,8/26/89,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR JETTY,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,ADULT,38,IN,20,LB,GILLNETTED ANIMAL,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,8/29/89,8/29/89,SANTA BARBARA,SANTA BARBARA,PADERO LANE,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,ADULT,57,IN,195,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,9/2/89,9/2/89,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,43,IN,74,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,9/2/89,9/2/89,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,41,IN,59,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,9/5/89,9/5/89,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,46,IN,92,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,9/23/89,9/23/89,SANTA BARBARA,ISLA VISTA,ISLA VISTA BEACH,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,ADULT,166.8,CM,140,LB,MILD PNEUMONITIS; GASTROENTERITIS,NA,SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,9/25/89,9/26/89,SANTA BARBARA,CARPINTERIA,SANDY LAND BEACH,,,UNKNOWN,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,163,CM,,,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
RISSO'S DOLPHIN,9/26/89,9/26/89,SANTA BARBARA,GAVIOTA,1 MILE EAST OF GAVIOTA STATE BEACH,3428,12010,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,F,PUP/CALF,150.6,CM,,,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
UNIDENTIFIED COMMON DOLPHIN,9/30/89,9/30/89,SANTA BARBARA,CARPINTERIA,CARPINTERIA STATE BEACH,3423,11931,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,U,ADULT,,,,,HEAD & CERVICAL VERTEBRAE ONLY,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY; SKULL TRANSFERREDTO CARPINTERIA STATE BEACH VISITOR CENTER ON 01/12/90 (DOC-4204-F/SWR),SANTA BARBARA MUSEUM OF NATURAL HISTORY
UNIDENTIFIED COMMON DOLPHIN,10/8/89,10/8/89,SANTA BARBARA,CARPINTERIA,SANDY BEND,3423,11931,UNKNOWN,ALIVE,TAKEN TO REHAB CENTER,M,ADULT,78,IN,600,LB,"ANIMAL STRANDED ALIVE; UNABLE TO STAY UPRIGHT, RAPID BREATHING; SMALL WOUNDS ON UPPER RIGHT & LOWER LEFT FLUKES; SMALL NOTCH IN BACKBONE APPROXIMATELY 13 INCHES ABOVE CAUDAL PEDUNCLE",NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,10/13/89,10/13/89,SANTA BARBARA,SANTA BARBARA,WEST BEACH,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,39,,22,,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,10/24/89,10/24/89,SANTA BARBARA,SANTA BARBARA,WEST BEACH,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP/CALF,38,IN,32,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED COMMON DOLPHIN,11/11/89,11/11/89,SANTA BARBARA,GAVIOTA,"HOLLISTER RANCH, WEST OF GAVIOTA STATE PARK",3428,12010,UNKNOWN,FRESH DEAD,LEFT AT SITE,F,SUBADULT,70,IN,,,CARCASS WITH TOOTH RAKE MARKS; DORSAL FIN HEIGHT = 8 INCHES,NO PARTS COLLECTED,
NORTHERN ELEPHANT SEAL,11/24/89,11/24/89,SANTA BARBARA,GUADALUPE,MOUTH OF SANTA MARIA RIVER,,,UNKNOWN,ADVANCED DECOMPOSITION,LEFT AT SITE,U,PUP/CALF,48,IN,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,11/24/89,11/24/89,SANTA BARBARA,SANTA BARBARA,FERNEL POINT BEACH (SHARK BEACH),,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,60,IN,,,,NO PARTS COLLECTED,
HARBOR SEAL,11/29/89,11/29/89,SANTA BARBARA,,"1 MILE SOUTH OF MINUTEMAN BEACH, VAFB",,,UNKNOWN,FRESH DEAD,LEFT AT SITE,M,ADULT,60,IN,200,LB,,NO PARTS COLLECTED,
CALIFORNIA SEA LION,11/29/89,11/29/89,SANTA BARBARA,,"1/2 MILE NORTH OF PUNSIMA POINT,  VAFB",,,UNKNOWN,FRESH DEAD,LEFT AT SITE,M,ADULT,72,IN,800,LB,,NO PARTS COLLECTED,
LEATHERBACK SEA TURTLE,1/13/90,1/13/90,SANTA BARBARA,MUSSEL SHOALS,100 METERS NORTH OF ENTRANCE ROAD TO RINCON ISLAND,3422,11928,VESSEL COLLISION,MODERATE DECOMPOSITION,LEFT AT SITE,U,ADULT,80,IN,600,LB,GASHES IN CARAPACE; POSSIBLE VESSEL COLLISION; FLIPPER-TO-FLIPPER WIDTH = 102 IN,NO PARTS COLLECTED,
CALIFORNIA SEA LION,1/13/90,1/14/90,SANTA BARBARA,SANTA BARBARA,BUTTERFLY BEACH,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP/CALF,32,IN,17,LB,ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
NORTHERN ELEPHANT SEAL,1/16/90,1/17/90,SANTA BARBARA,ISLA VISTA,ISLA VISTA,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,YEARLING,53,IN,189,LB,ANIMAL KEPT OVERNIGHT FOR EXAM; ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,2/6/90,2/7/90,SANTA BARBARA,,"1/2 MILE NORTH SANTA YNEZ RIVER MOUTH,  WEST OF LOMPOC",,,UNKNOWN,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,M,ADULT,200,CM,124,KG,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
NORTHERN FUR SEAL,2/7/90,2/7/90,SANTA BARBARA,SANTA BARBARA,EAST BEACH,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,ADULT,48,IN,130,LB,CORNEAL INFECTION RIGHT EYE; EMACIATED,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED COMMON DOLPHIN,2/14/90,2/14/90,SANTA BARBARA,GOLETA,"GOLETA BEACH, BELOW UC SANTA BARBARA CAMPUS",3425,11950,UNKNOWN,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,M,ADULT,227.5,CM,105,KG,,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,3/2/90,3/2/90,SANTA BARBARA,SANTA BARBARA,WEST BEACH,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,39,IN,28,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/4/90,3/4/90,SANTA BARBARA,CARPENTERIA,RINCON POINT,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,42,IN,48,LB,GILLNET FRAGMENTS AROUND HEAD & NECK,NA,SANTA BARBARA MARINE MAMMAL CENTER
NORTHERN ELEPHANT SEAL,3/10/90,3/10/90,SANTA BARBARA,GAVIOTA,GAVIOTA,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,50,IN,71,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/11/90,3/11/90,SANTA BARBARA,MONTECITO,MIRAMAR BEACH,,,GILLNET-RELATED,FRESH DEAD,LEFT AT SITE,F,ADULT,54,IN,150,LB,CARCASS WITH GILLNET FRAGMENTS,NO PARTS COLLECTED,
HARBOR SEAL,3/11/90,3/11/90,SANTA BARBARA,GOLETA,MORE MESA,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,25,IN,15,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/13/90,3/13/90,SANTA BARBARA,SANTA BARBARA,1000 STEPS,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,35.5,IN,18,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,3/17/90,3/17/90,SANTA BARBARA,CARPINTERIA,CASITAS PIER,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,28,IN,16,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,3/20/90,3/22/90,SANTA BARBARA,CARPINTERIA,CASITAS PIER,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP/CALF,24,IN,9,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
NORTHERN ELEPHANT SEAL,3/23/90,3/23/90,SANTA BARBARA,SANTA BARBARA,ARROYO BORRO BEND,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,64,IN,65,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
NORTHERN ELEPHANT SEAL,3/23/90,3/23/90,SANTA BARBARA,SANTA BARBARA,BILTMORE,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP/CALF,72,IN,70,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/28/90,3/28/90,SANTA BARBARA,SANTA BARBARA,HARBOR,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,58,IN,129,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
BOTTLENOSE DOLPHIN,3/31/90,4/1/90,SANTA BARBARA,CARPINTERIA,"PADARO LANE, 100 YARDS OFFSHORE",3423,11931,GILLNET-RELATED,ALIVE,LEFT AT SITE,U,SUBADULT,96,IN,400,LB,"ANIMAL ENTANGLED IN BLUEISH-GREEN MONOFILAMENT GILLNETTING, FROM SNOUT TO FLUKES; ANIMAL SWAM ERRATICALLY UPON RELEASE; THEN RECOVERED STRONGLY; RESCUE OCCURRED ABOUT 1/4 MILES SOUTH OF SANTA BARBARA HARBOR",NA,RELEASED ALIVE ON SITE; FINAL STATUS UNKNOWN
CALIFORNIA SEA LION,4/6/90,4/6/90,SANTA BARBARA,SANTA BARBARA,EAST BEACH,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP/CALF,39,IN,40,LB,ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,4/14/90,4/14/90,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,44,IN,75,LB,GILLNET FRAGMENTS AROUND HEAD & NECK,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED PINNIPED,4/16/90,4/16/90,SANTA BARBARA,,BATES BEACH,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,4/16/90,4/16/90,SANTA BARBARA,,BATES BEACH,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,4/16/90,4/16/90,SANTA BARBARA,,BATES BEACH,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
CALIFORNIA SEA LION,4/17/90,4/17/90,SANTA BARBARA,CARPINTERIA,CASITAS PIER BUOY,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,44,IN,53,LB,ANIMAL WITH GILLNET FRAGMENTS AROUND HEAD & NECK,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,4/25/90,4/25/90,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP/CALF,38,IN,31,LB,ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/7/90,5/7/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/10/90,5/10/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/10/90,5/10/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/10/90,5/10/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/10/90,5/10/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/13/90,5/13/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,5/13/90,5/13/90,SANTA BARBARA,ISLA VISTA,GOLETA POINT,,,UNKNOWN,MODERATE DECOMPOSITION,LEFT AT SITE,U,UNKNOWN,,,,,,NO PARTS COLLECTED,
CALIFORNIA SEA LION,5/13/90,5/13/90,SANTA BARBARA,SANTA BARBARA,1000 STEPS,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,44,IN,86,LB,ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,5/20/90,5/20/90,SANTA BARBARA,SANTA BARBARA,HARBOR,,,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,U,PUP/CALF,38.75,IN,20,LB,ILLNESS,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,,BETWEEN MUSSEL ROCK & GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
UNIDENTIFIED PINNIPED,6/4/90,6/4/90,SANTA BARBARA,GUADALUPE,GUADALUPE DUNES,,,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 12 ANIMALS FOUND WITHIN A 2 1/2 MILE STRETCH OF BEACH,NO PARTS COLLECTED,
CALIFORNIA SEA LION,6/6/90,6/6/90,SANTA BARBARA,GOLETA,EL CAPITAN STATE BEACH,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,YEARLING,39,IN,33,LB,GILLNET FRAGMENTS AROUND HEAD & NECK,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,6/8/90,6/8/90,SANTA BARBARA,SANTA BARBARA,HARBOR,,,ILLNESS/NJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,SUBADULT,45,IN,100,LB,ILLNESS/INJURY,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,6/14/90,6/14/90,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,,,HOOK/LINE FISHERY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,YEARLING,39,IN,34,LB,FISH HOOK LODGED IN THROAT,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,6/16/90,6/16/90,SANTA BARBARA,SANTA BARBARA,"ARROYO BURRO BEACH COUNTY PARK, BUOY AT MARICULTURE BRG",,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,SUBADULT,46,IN,80,LB,GILLNET FRAGMENTS AROUND HEAD & NECK,NA,SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,6/16/90,6/16/90,SANTA BARBARA,SANTA BARBARA,"ARROYO BURRO BEACH COUNTY PARK, BUOY AT MARICULTURE BRG",,,INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,YEARLING,40,IN,45,LB,CUT ON LEFT REAR FLIPPER,NA,SANTA BARBARA MARINE MAMMAL CENTER
UNIDENTIFIED COMMON DOLPHIN,6/26/90,6/26/90,SANTA BARBARA,,"PARADISE BEACH, BETWEEN POINT SAL & MUSSEL BEACH",3454,12040,UNKNOWN,FRESH DEAD,LEFT AT SITE,U,ADULT,,,,,,NO PARTS COLLECTED,
CALIFORNIA SEA LION,7/1/90,7/1/90,SANTA BARBARA,SANTA BARBARA,ON SEA BUOY AT SANTA BARBARA HARBOR ENTRANCE,,,GILLNET-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,ADULT,57,IN,230,LB,LEFT EAR LOBE SEVERED BY GILLNET,NA,SANTA BARBARA MARINE MAMMAL CENTER
HARBOR SEAL,8/12/90,8/13/90,SANTA BARBARA,MONTECITO,MOUTH OF SAN YSIDRO CREEK,34,119,UNKNOWN,FRESH DEAD,LEFT AT SITE,M,SUBADULT,122,CM,,,LENGTH: CURVILINEAR,NO PARTS COLLECTED,
